unit_name,unit_idnum,unit_id,action,channel_group,max_dissimilarity,max_depth_delta
171,0,6effc025-6042-4236-897e-94ca809e67fb,011-120321-2,1,0.05,100
433,1,34b41c71-62a1-444b-a165-fa39c8bd30ae,011-120321-5,1,0.05,100
177,1,34b41c71-62a1-444b-a165-fa39c8bd30ae,011-120321-2,1,0.05,100
899,1,34b41c71-62a1-444b-a165-fa39c8bd30ae,011-120321-4,1,0.05,100
278,1,34b41c71-62a1-444b-a165-fa39c8bd30ae,011-120321-3,1,0.05,100
286,1,34b41c71-62a1-444b-a165-fa39c8bd30ae,011-120321-6,1,0.05,100
181,2,c2cee5ac-8e1c-42d9-be4b-bd1c10cdd661,011-120321-2,1,0.05,100
435,2,c2cee5ac-8e1c-42d9-be4b-bd1c10cdd661,011-120321-5,1,0.05,100
689,2,c2cee5ac-8e1c-42d9-be4b-bd1c10cdd661,011-120321-4,1,0.05,100
239,2,c2cee5ac-8e1c-42d9-be4b-bd1c10cdd661,011-120321-3,1,0.05,100
290,3,be77fd5b-9170-49b7-adb1-03ac4f4167e1,011-120321-3,1,0.05,100
193,3,be77fd5b-9170-49b7-adb1-03ac4f4167e1,011-120321-2,1,0.05,100
452,4,d7079067-6804-42c5-82ec-c95d04f0ecda,011-120321-5,1,0.05,100
896,4,d7079067-6804-42c5-82ec-c95d04f0ecda,011-120321-4,1,0.05,100
449,4,d7079067-6804-42c5-82ec-c95d04f0ecda,011-120321-6,1,0.05,100
209,4,d7079067-6804-42c5-82ec-c95d04f0ecda,011-120321-2,1,0.05,100
299,4,d7079067-6804-42c5-82ec-c95d04f0ecda,011-120321-3,1,0.05,100
229,5,118406ca-45d9-440c-a9f9-54f75430aa99,011-120321-3,1,0.05,100
494,5,118406ca-45d9-440c-a9f9-54f75430aa99,011-120321-6,1,0.05,100
267,5,118406ca-45d9-440c-a9f9-54f75430aa99,011-120321-2,1,0.05,100
446,5,118406ca-45d9-440c-a9f9-54f75430aa99,011-120321-5,1,0.05,100
626,5,118406ca-45d9-440c-a9f9-54f75430aa99,011-120321-4,1,0.05,100
271,6,1f668b16-6edd-4cc9-9cf4-55ca6bbe7f5e,011-120321-2,1,0.05,100
936,6,1f668b16-6edd-4cc9-9cf4-55ca6bbe7f5e,011-120321-4,1,0.05,100
613,6,1f668b16-6edd-4cc9-9cf4-55ca6bbe7f5e,011-120321-3,1,0.05,100
331,6,1f668b16-6edd-4cc9-9cf4-55ca6bbe7f5e,011-120321-5,1,0.05,100
326,7,23a608c3-2c0e-4d10-a032-af84472d9171,011-120321-2,1,0.05,100
298,8,0c8350a4-a418-4764-84ef-7f95ee092fca,011-120321-6,1,0.05,100
347,8,0c8350a4-a418-4764-84ef-7f95ee092fca,011-120321-2,1,0.05,100
363,9,88fee673-791e-4677-ae3b-3f4563b4bc29,011-120321-2,1,0.05,100
367,10,2a4d126c-9b87-48ff-ab26-f39d648e7775,011-120321-2,1,0.05,100
368,11,3281a809-c036-469f-8144-a28a79e976ac,011-120321-2,1,0.05,100
460,11,3281a809-c036-469f-8144-a28a79e976ac,011-120321-5,1,0.05,100
374,12,70ae6993-b2a2-4827-b498-3dd29fdfbf73,011-120321-2,1,0.05,100
426,12,70ae6993-b2a2-4827-b498-3dd29fdfbf73,011-120321-6,1,0.05,100
206,13,93642281-0261-4511-9348-e4de15b9e885,011-120321-3,1,0.05,100
295,14,2430a278-b60c-4abf-abaf-19bd32cbd6b1,011-120321-3,1,0.05,100
368,15,ca799ff6-5aa8-4180-b660-5b0c12b0cd20,011-120321-3,1,0.05,100
370,16,f30b7f34-1367-4a12-b063-1ab1a018a7c9,011-120321-3,1,0.05,100
397,17,ae4831f2-f954-4d7c-8756-a94e66ec61f2,011-120321-3,1,0.05,100
603,18,cdbd9a3e-91f6-46f7-ba31-75dfd78c842c,011-120321-3,1,0.05,100
